title;Body;Nid;postdate;Published;startdate;enddate;Term;LocationName;Uid;username
repetitie;het concerto van Garcia, Los Reyes, graag heel goed inoefenen.<br/>Rumba con trastes ook eens doornemen vooraf ok?<br/>En ik breng het eerste deel van het concerto ook mee, en nog wel iets.... een beetje nieuw programma oefenen.;536;1331910061;Yes;1336824000;1336831200;Repetitie;Ernest Claesklas;2;marleen
Geen repetitie;;535;1331910020;Yes;1336168800;1336168800;Repetitie;Ernest Claesklas;2;marleen
Uitwisseling met CGO en Guitar'essonne;Een gitaardag in de academie, gecombineerd met een uitwisseling van 2 ensembles. <br/>CGO (Cambridge) en Guitar'essonne komen op wederbezoek.<br/>Zaterdag:<br/>gezamenlijke workshop van 9u30-11u30<br/>ontvangst op het stadhuis<br/>middageten<br/>workshop oude tokkelinstrumenten door Dirk De hertogh<br/>concert 17-18u30<br/>buffet <br/>Zondag<br/>concert in Gent om 11u in Parnassus<br/>gezamenlijk etentje<br/>wandeling door Gent;509;1319735624;Yes;1335564000;1335650400;Optreden;kunstacademie Waregem, Parnassus Gent;2;marleen
Uitwisselen met Britten en Fransen;;475;1302365415;Yes;1335477600;1335650400;Uitwisseling;;1;admin
repetitie;;534;1331909868;Yes;1335009600;1335016800;Repetitie;;2;marleen
Repetitie in Torenhof!;;533;1331909827;Yes;1334476800;1334484000;Repetitie;Torenhofschool;2;marleen
Geen repetitie;;543;1331910333;Yes;1333749600;1333749600;Repetitie;;2;marleen
Geen repetitie;Marleen kan er zelf niet zijn...<br/>Ik hou jullie niet tegen om zelf een repetitie te organiseren :-);529;1329940324;Yes;1333144800;1333144800;Repetitie;Ernest Claesklas;2;marleen
Repetitie;Back to the future, een beetje aangepast.<br/>Palladio, Austin tango<br/>en het concerto deel 3<br/>Play 5 (de origineelste titel die ik ooit bedacht voor een stuk :-);531;1329940437;Yes;1332594000;1332601200;Repetitie;Ernest Claesklas;2;marleen
Repetitie,;ra ra ra...<br/>we spelen iets nieuw uiteraard.... We beginnen aan een concerto van Gerald Garcia.<br/>Heel relax.. liefst....<br/>en ik breng nog iets mee;530;1329940396;Yes;1331989200;1331996400;Repetitie;Ernest Claesklas;2;marleen
Concertweekend Vichte;;523;1326662856;Yes;1331460000;1331467200;Optreden;Oude Kerk;2;marleen
Concertweekend Vichte 2012;;396;1274304624;Yes;1331406000;1331411400;Optreden;Oude Kerk;2;marleen
Concertweekend Vichte 2012;Concertweekend organized every year, with concerts on Saterday evening and Sunday morning.;488;1307117002;Yes;1331406000;1331467200;Optreden;Oude Kerk;395;Pieter-Jan
Repetitie;Het hele ganse volledige programma van volgende week.... <br/>Dus reken zeker een beetje extra tijd om te repeteren aub, ander ga ik stressen :-)<br/>Alle elektrische gitaristen brengen hun elektrische gitaar én een verlengkabel, en kabel om naar de versterker te verbinden mee. <br/>aandachtspunten:<br/>Japanse stuk zou moeten kunnen zonder bladjes draaien: dus knippen, plakken, verkleinen etc etc.<br/>En waar het traag moet, moet dit traag :-)<br/>Electric Counterpoint, voor diegenen die er nog last van hebben: overgangen 3/2 naar 12/8 maat en terug.<br/>Austin: graag aandacht voor de accenten, dynamiek en de maatslag wordt 4/4 zoals we vorige zaterdag al deden. <br/>En de overgangen in Back to the future van buiten kennen en zeer goed oefenen. (maat 28 tot en met 31 spelen we niet)<br/>al de rest wel.... <br/>het bisnummerke is Xote.;532;1330642684;Yes;1330779600;1330788600;Repetitie;;2;marleen
Repetitie in Torenhof!;zoveel mogelijk aan programma concertweekend werken. Moet ondertussen perfect gekend zijn...<br/>Electric counterpoint, Back to the future krijgen voorrang.<br/>Palladio herhalen.<br/>Voornamtous<br/>en een aperitiefke om af te sluiten...;527;1328179931;Yes;1330246800;1330254000;Repetitie;Torenhofschool;2;marleen
Repetitie in Torenhof!;Japanse fantasie<br/>Austin Tango<br/>electric counterpoint<br/>Back to the future<br/>Cristalina<br/>Gnocco Fritto;526;1328179860;Yes;1330160400;1330169400;Repetitie;Torenhofschool;2;marleen
Repetitie;zelfde programma als vorige week. Met nadruk op Austin tango!!<br/>en we herhalen iets... <br/>Rumba<br/>...;525;1328179822;Yes;1329570000;1329578100;Repetitie;;2;marleen
Repetitie;De moeilijkerds vandaag...<br/>Austin Tango<br/>Japanse fantasie<br/>Electric counterpoint: elektrische gitaren en elektrische basgitaren meebrengen. <br/>Back to the future. <br/>reken aub op een kwartiertje extra, anders is het zo stressy om dit allemaal geoefend te krijgen.;524;1328179689;Yes;1328965200;1328973300;Repetitie;;2;marleen
Jaarlijks nieuwjaarsconcert;Dit jaar is ons concert in een concertzaaltje en niet meer in het Torenhof.;510;1320749241;Yes;1328378400;1328387400;Optreden;CC De Roose;2;marleen
Repetitie,;Programma van ons nieuwjaarsconcertje<br/>Cristalina<br/>Palladio<br/>Beat of Santa Rosa<br/>Dreams of Jamaica<br/>Voornàmtous<br/>Rumba<br/>Twee meisjes<br/>onze studentjes worden eerst even apart aangepakt , in de vroegere namiddag... :-);520;1320754578;Yes;1328366700;1328374800;Repetitie;CC De Roose;2;marleen
Studentjes Repetitie voor nieuwjaarsconcert;Verdere inlichtingen volgen !!<br/>Een strenge' aanpak van de studenten. <br/>Anderen moeten niet komen (tenzij om te luisteren :-)<br/>We overlopen het Japanse stuk, en Back to the future.<br/>ook afspraken ivm Austin Tango.;521;1320788316;Yes;1328363100;1328366700;Repetitie;CC De Roose;1;admin
Repetitie;;519;1320754328;Yes;1327755600;1327762800;Repetitie;;2;marleen
Repetitie;Dreams of Jamaica<br/>Japanse stuk<br/>Austin Tango: het derde deel <br/>Electric Counterpoint : vanaf de mollen :-(<br/>eventueel iets herhalen... (Cristalina, Palladio etc etc);518;1320754286;Yes;1327150800;1327158000;Repetitie;Ernest Claesklas;2;marleen
Repetitie;Austin Tango helemaal<br/>Cuban Landscape: DOEN WE NIET!<br/>Voornàmtous<br/>Dreams of Jamaica<br/>Japans stuk<br/>arrangement Back to the Future zou moeten klaar zijn :-);517;1320754245;Yes;1326546000;1326553200;Repetitie;Ernest Claesklas;2;marleen
Geen repetitie;Geen repetitie dus...<br/>Marleen werkt aan het arrangement van Back to the future. <br/>en wie even kan, goed oefenen aan Austin Tango, Dreams of Jamaica enz enz... <br/>tot de volgende!;522;1325540669;Yes;1325890800;1325890800;Repetitie;;2;marleen
Geen repetitie;Geen repetitie, je kan kerstliedjes oefenen thuis :-);516;1320754185;Yes;1324681200;1324681200;Repetitie;;2;marleen
Repetitie;Nog een keer electric counterpoint. <br/>Austin tango helemaal. <br/>Dreams of Jamaica helemaal<br/>Palladio herhalen. (voor Lize is dit nieuw:-)<br/>Cuban Landscape doornemen;515;1320754140;Yes;1324126800;1324137600;Repetitie;Ernest Claesklas;2;marleen
Repetitie;Nog een keer een 'partiële' repetitie van Austin Tango, waarin we het B-gedeelte van maat 21 tot en met 33 aanpakken. <br/>En lang geleden.... Dreams of jamaica!!! <br/>en dan zien we wel: Japans, Cubaans...;514;1320754100;Yes;1323522000;1323529200;Repetitie;ernest Claesklas en Stijn streuvelsklas;2;marleen
Repetitie;Electric counterpoint. (om veel te tellen)<br/>het japanse stuk<br/>en  cuban landscape van Brouwer (sorry, niet iedereen heeft dit al, geen paniek, zaterdag krijg je het...)<br/>we gaan dit al eens overlopen. <br/>En nog even wat uitleg over Austin Tango. Probeer het eerste deel nog eens te oefenen. Tot en met maat 20, en per achtste noot tellen (en streepjes zetten, zoals Ruben vraagt);513;1320754066;Yes;1322917200;1322924400;Repetitie;Ernest Claesklas;2;marleen
repetitie;Austin Tango: repetitie per stem (Ruben en ik controleren per stem :-) Kijken we naar uit....<br/>Electric Counterpoint: met PJ in topform, en alle anderen ook natuurlijk<br/>We dromen van Jamaica<br/>De Japanse ruine wordt ook bezongen.<br/>En het Cubaanse landschap onder een zacht regenbuitje... overlopen we even. <br/>Warm je vingers maar op dus...;512;1320754029;Yes;1322312400;1322319600;Repetitie;Ernest Claesklas;2;marleen
repetitie;Electric counterpoint<br/>Japanse fantasie: de eerste 54 maten.<br/>Je mag het natuurlijk ook helemaal inoefenen :-) moet toch gebeuren. Maar doe dat niet als je Lize, Canigia, Wolfger, Pim of Bart noemt.<br/>Stemverdeling verandert nog een beetje: maar de eerste 54 maten zijn sowieso gelijk. <br/>Dreams of Jamaica <br/>Nog 2 nieuwe stukken te krijgen... Cuban Landscape with rain en een tango.;511;1320753992;Yes;1321707600;1321714800;Repetitie;Ernest Claesklas;2;marleen
Gitaarfestival Deinze - Aperitief concert;Orkest van Praag staat centraal, samen met leraars van academie;474;1302365298;Yes;1321176600;1321182000;Practische Info;Zaal Post, Muziekacademie;1;admin
Gitaarfestival Deinze - Gemeenschappelijk concert;Gemeenschappelijk concert van alle deelnemende binnen- en buitenlandse orkesten;471;1302364285;Yes;1321124400;1321124400;Optreden;Kerk;1;admin
Guitar festival Deinze - Concert with all orchestras;Concert with Belgian and international orchestra (Prague, Lyon, ...);477;1302369092;Yes;1321124400;1321124400;Optreden;Kerk;1;admin
Repetitie;<br/>Oefenen gemeenschappelijke werken<br/>Eigen repertoire<br/>Vieruurtje om 16u30 en ook avondmaal is voorzien :)<br/><br/>Programma:<br/>Beat of Santa rosa<br/>Moment for Morricone<br/>Twee meisjes<br/>Gezamenlijk: VoorNàmTous;473;1302365174;Yes;1321102800;1321117200;Repetitie;Kerk Olsene;1;admin
Repetitie;<br/>Oefenen gemeenschappelijke werken<br/>Eigen repertoire<br/>Vieruurtje om 16u30 en ook avondmaal is voorzien :)<br/><br/>Programma:<br/>Beat of Santa rosa<br/>Moment for Morricone<br/>Twee meisjes<br/>Gezamenlijk: VoorNàmTous;473;1302365174;Yes;1321102800;1321117200;Practische Info;Kerk Olsene;1;admin
Gitaarfestival Deinze - Concert buitenlandse orkesten;Concert van alle buitenlandse orkesten (Yonne, Avignon, Praag);470;1302364159;Yes;1321038000;1321043400;Practische Info;De Mastbloem;1;admin
